school_name,lng_wgs84,lat_wgs84
哈尔滨理工大学,126.6106943,45.71309572
哈尔滨工程大学,126.6756863,45.77464825
黑龙江科技大学,126.647425,45.81719977
东北石油大学,125.1422088,46.58989327
佳木斯大学,130.3538266,46.78365384
黑龙江八一农垦大学,125.1613194,46.58523665
东北农业大学,126.7213633,45.7422967
东北林业大学,126.6352048,45.71542753
哈尔滨医科大学,126.6140663,45.69940136
黑龙江中医药大学,126.6422074,45.72489474
牡丹江医学院,129.5721748,44.60341824
哈尔滨师范大学,126.6189351,45.72320991
齐齐哈尔大学,123.9333016,47.35258798
牡丹江师范学院,129.5537338,44.58699765
哈尔滨学院,126.600747,45.70467297
大庆师范学院,124.8601993,46.67375218
绥化学院,126.9715367,46.62210388
哈尔滨商业大学,126.6025322,45.73841092
哈尔滨体育学院,126.6716192,45.75846839
哈尔滨金融学院,126.7301659,45.71976297
齐齐哈尔医学院,123.9445772,47.37636331
黑龙江工业学院,130.9560297,45.28108416
黑龙江东方学院,126.6562188,45.57298669
哈尔滨信息工程学院,126.5005282,45.87604549
黑龙江工程学院,126.6812591,45.78411856
齐齐哈尔工程学院,123.9583373,47.30134187
黑龙江外国语学院,126.5459473,45.85639383
黑龙江财经学院,126.4859887,45.87581984
哈尔滨石油学院,126.5535924,45.84753868
黑龙江工商学院,126.5193044,45.86922597
哈尔滨远东理工学院,126.5247788,45.86503671
哈尔滨剑桥学院,126.6533133,45.65348755
黑龙江工程学院昆仑旅游学院,127.4006165,45.74516027
哈尔滨广厦学院,126.5440488,45.87443146
哈尔滨华德学院,126.5349469,45.87501429
黑河学院,127.5358335,50.2258021
哈尔滨音乐学院,126.5646011,45.82809415
齐齐哈尔高等师范专科学校,123.9671023,47.3122813
伊春职业学院,128.8685374,47.71340914
牡丹江大学,129.5650262,44.59096222
黑龙江职业学院,126.2914565,45.38377299
黑龙江建筑职业技术学院,126.5024371,45.87022848
